state,account length,area code,phone number,international plan,voice mail plan,number vmail messages,total day calls,total day charge,total eve calls,total eve charge,total night calls,total night charge,total intl calls,total intl charge,customer service calls,churn
KS,128,415,382-4657,0,1,25,110,45.07,99,16.78,91,11.01,3,2.7,1,0
OH,107,415,371-7191,0,1,26,123,27.47,103,16.62,103,11.45,3,3.7,1,0
NJ,137,415,358-1921,0,0,0,114,41.38,110,10.3,104,7.32,5,3.29,0,0
OH,84,408,375-9999,1,0,0,71,50.9,88,5.26,89,8.86,7,1.78,2,0
OK,75,415,330-6626,1,0,0,113,28.34,122,12.61,121,8.41,3,2.73,3,0
AL,118,510,391-8027,1,0,0,98,37.98,101,18.75,118,9.18,6,1.7,0,0
MA,121,510,355-9993,0,1,24,88,37.09,,29.62,118,9.57,7,2.03,3,0
MO,147,415,329-9001,1,0,0,79,26.69,94,8.76,96,9.53,6,1.92,0,0
LA,117,408,335-4719,0,0,0,97,31.37,80,29.89,90,9.71,4,2.35,1,0
WV,141,415,330-8173,1,1,37,84,43.96,111,18.87,97,14.69,5,3.02,0,0
IN,65,415,329-6603,0,0,0,137,,83,19.42,111,9.4,6,,4,1
RI,74,415,344-9403,0,0,0,127,31.91,148,13.89,94,8.82,5,2.46,0,0
IA,168,408,363-1107,0,0,0,96,21.9,71,8.92,128,6.35,2,3.02,1,0
MT,95,510,394-8006,0,0,0,88,26.62,75,21.05,115,8.65,5,3.32,3,0
IA,62,415,366-9238,0,0,0,70,20.52,76,26.11,,9.14,6,3.54,4,0
NY,161,415,351-7269,0,0,0,67,56.59,97,27.01,128,7.23,9,1.46,4,1
ID,85,408,350-8884,0,1,27,139,33.39,90,23.88,75,4.02,4,3.73,1,0
VT,93,510,386-2923,0,0,0,114,32.42,111,18.55,121,5.83,3,,3,0
VA,76,510,356-2992,0,1,33,66,32.25,65,18.09,108,7.46,5,2.7,1,0
TX,73,415,373-2782,0,0,0,90,38.15,88,13.56,74,8.68,2,3.51,1,0
FL,147,415,396-5800,0,0,0,117,26.37,93,20.37,133,9.4,4,2.86,0,0
CO,77,408,393-7984,0,0,0,89,10.61,121,14.44,64,9.43,6,1.54,5,1
AZ,130,415,358-1958,0,0,0,112,31.11,99,6.2,78,8.18,19,2.57,0,0
SC,111,415,350-2565,0,0,0,103,18.77,102,,105,8.53,,2.08,2,0
VA,132,510,343-4696,0,0,0,86,13.79,72,20.84,115,10.67,2,2.78,0,0
NE,174,415,331-3698,0,0,0,76,21.13,112,23.55,115,11.28,5,4.19,3,0
WY,57,408,357-3817,0,1,39,115,36.21,112,16.24,115,8.22,3,2.57,0,0
MT,54,408,418-6412,0,0,0,73,22.83,100,13.22,68,4.59,4,3.97,3,0
MO,20,415,353-2630,0,0,0,109,32.3,84,21.95,102,8.17,6,1.7,0,0
HI,49,510,410-7789,0,0,0,,20.28,109,18.28,90,8.04,1,3,1,0
IL,142,415,416-8428,0,0,0,95,14.42,63,11.62,148,11.27,6,3.83,2,0
NH,75,510,370-3359,0,0,0,105,38.44,107,17.13,98,11.08,5,2.78,1,0
